"LATITUDE","LONGITUDE"
14.6,78.92
14.4630643,78.9599526
13.6472122,78.4664855
13.6465205,78.4648889
13.7180402,78.3239365
13.6249981,78.4480849
16.5672099,81.2312686
16.8379122,82.2778659
16.9578294,82.2678935
18.010222,82.707139
18.008417,82.715056
17.446535,81.76021
17.620238,81.748701
17.669352,81.709685
17.602851,81.703165
17.635123,81.633737
17.6100011,81.6929197
17.6063279,81.6928768
17.6708481,81.6013384
18.0386452,82.0780233
18.042751,82.037369
18.037553,82.085554
18.0123981,82.1146488
17.97776,82.134237
17.951174,82.146007
17.812246,82.494427
17.8178299,82.492218
17.858968,82.4297762
17.894333,82.410375
17.823942,82.472554
17.944634,82.387698
17.944814,82.387744
17.982694,82.407103
18.0140795,82.5329018
18.047936,82.696196
17.8153784,83.0215359
17.7288214,81.5241337
17.869086,81.731682
18.0452242,82.0354486
17.7654437,81.5450764
13.5594422,78.5064214
13.7959049,78.6731113
16.0725948,80.8769017
13.6156645,78.5906488
15.8562515,78.3055258
16.9952996,82.2424333
16.0688133,80.8722027
15.8019927,80.8552102
15.7850767,80.8536724
14.5650381,79.994442
14.603359,79.9973838
16.4633323,80.6529093
17.0536651,82.2531093
13.6153533,78.4431727
16.8268216,81.4481624
13.6509599,78.4005877
13.6449181,78.4106598
13.639369,78.4357514
16.6368932,81.2140118
16.0367348,80.873106
13.6291052,79.3278766
13.7459285,79.5988333
13.648935,79.450151
13.6586332,79.4861672
13.725674,80.12928
13.6449383,79.2679346
13.6979442,80.0302935
16.6636529,80.699564
13.81322,79.21033
13.626338,78.478081
13.6522146,78.4167486
13.6569817,78.4170949
13.4914025,80.1098478
13.5071555,80.1136351
13.5056324,80.1192033
13.675011,80.0393057
13.6528679,80.0494123
13.6483848,80.0508177
13.6440476,80.0573543
13.6206607,80.1379305
13.6200768,80.1404974
13.6137475,80.1373297
13.6211456,80.1363024
13.6326308,80.1382738
13.6396634,80.1355085
13.6434846,80.1264346
13.6763453,80.1312304
13.6834455,79.3464673
16.5159841,80.6058204
16.496841,80.581607
16.516975,80.588983
16.612078,80.538564
16.625253,80.53118
13.718956,80.036338
13.6245067,78.4436686
13.66848,79.504774
13.6299283,78.4657467
13.6248067,78.43268
13.6396583,78.4679633
16.2478,80.638
15.1747,77.3682
15.1532,77.6108
15.1409,77.6489
14.8927,78.0056
16.3005,80.4427
15.9443,77.2982
13.6518253,79.4162607
16.3079,80.3971
13.7698983,77.4762297
13.7625279,77.494759
13.64116,79.3984583
13.6326516,79.3964016
15.8664058,78.4128693
16.64097,80.4859649
16.6039035,80.5083728
16.1481505,81.1673431
16.972331,82.345178
16.9956434,82.2679424
16.8369936,82.2856236
17.8012412,83.3207846
16.5513329,80.6289974
17.3116359,82.0966277
17.0306443,81.7958817
17.5739287,81.716604
13.7120947,79.5931888
13.3312731,79.1038393
13.716704,79.589162
13.710672,79.587163
