COUNTY.COD,SAMPLING.E,OBSERVATIO,LOCALITY.I,LOCALITY,LATITUDE,LONGITUDE,Curlew_Sandpiper,Black.tailed_Gowdit ,Red.necked_Stint,Eurasian_Curlew,Bar.tailed_Gowdit,Great_Knot,Asian_Dowitcher,Malaysian_Plover,Great_Thick_Knee,Gray.tailed_Tattler,Nordmann.s_Greenshank,Far_Easter_Curlew,Spoon.billed_Sandpiper,Red_Knot,Beach_Thick_Knee,Eurasian_Oystercatcher,Total,TH_Total
IN-AP-EG,S67385112,4/18/2020,L10492485,Wetland opposite Coromandel fertilizers,16.9956434,82.2679424,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,4
IN-AP-EG,S79909366,1/16/2021,L4972745,Coringa Wildlife Santuary,16.8369936,82.2856236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
IN-AP-EG,S54472564,2/10/2019,L4972745,Coringa Wildlife Santuary,16.8369936,82.2856236,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,22,10
IN-AP-EG,S63347987,1/11/2020,L6761647,Coromandel International Ltd,16.9875683,82.2722232,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,11
IN-AP-EG,S78994908,1/7/2021,L13225058,Creek near Coromandel,16.9963278,82.2796633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
IN-AP-EG,S32007151,10/10/2016,L4043407,Coringa Wildlife Sanctuary,16.8379122,82.2778659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
IN-AP-EG,S51667312,1/13/2019,L4972745,Coringa Wildlife Santuary,16.8369936,82.2856236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
IN-AP-EG,S51694779,1/13/2019,L4984271,Kakinada Fishing Jetty (Kumbhabishekam),16.9578294,82.2678935,0,10,0,0,5,0,0,0,0,0,0,0,0,0,0,0,20,15
IN-AP-EG,S53935016,1/13/2019,L4984271,Kakinada Fishing Jetty (Kumbhabishekam),16.9578294,82.2678935,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,19,6
IN-AP-EG,S67888194,11/30/2019,L11256245,Kumbhabhishekam Temple,16.9619567,82.2657105,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,18,6
IN-AP-EG,S34554815,2/19/2017,L4972745,Coringa Wildlife Santuary,16.8369936,82.2856236,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,5
IN-AP-EG,S79309923,1/16/2021,L4972745,Coringa Wildlife Santuary,16.8369936,82.2856236,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1
IN-AP-EG,S77716204,12/20/2020,L10963873,"IN (17, 82.287) Kakinada Beach",17.0003875,82.2865072,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4
IN-AP-EG,S83989869,2/20/2021,L13769818,"NH 216, Kakinada IN-AP 16.94336, 82.23328",16.943361,82.233283,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1
IN-AP-EG,S53935022,1/13/2019,L6762130,"Hope Island, Kakinada",16.972331,82.345178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
IN-AP-EG,S65493604,3/6/2020,L10908639,"Koringa Wild Life Sanctuary Road, Chollangi, Andhra Pradesh, IN (16.881, 82.249)",16.8805093,82.2487861,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1
IN-AP-EG,S82190372,2/21/2021,L13801663,"Pamarru, East Godavari IN-AP 16.70264, 82.02897",16.702639,82.028967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
IN-AP-EG,S62143820,12/7/2019,L10262128,"Lanka Path, Kothapalem, Andhra Pradesh, IN (16.595, 82.266)",16.5951361,82.2655871,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3
IN-AP-EG,S62151695,12/7/2019,L10262128,"Lanka Path, Kothapalem, Andhra Pradesh, IN (16.595, 82.266)",16.5951361,82.2655871,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6
IN-AP-EG,S83392860,1/16/2021,L14031537,"Kakinada Rajanagaram Road, Kakinada, Andhra Pradesh, IN (16.992, 82.278)",16.9922683,82.2782046,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,2
IN-AP-EG,S40056381,10/21/2017,L4972745,Coringa Wildlife Santuary,16.8369936,82.2856236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
IN-AP-EG,S77716064,12/20/2020,L10963873,"IN (17, 82.287) Kakinada Beach",17.0003875,82.2865072,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,4
IN-AP-EG,S77045927,2/9/2019,L11256245,Kumbhabhishekam Temple,16.9619567,82.2657105,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1
IN-AP-EG,S77985923,12/26/2020,L13033496,"Uppada Beach Road, Kakinada, Andhra Pradesh, IN (16.995, 82.278)",16.9953247,82.2782983,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,4
IN-AP-EG,S85893021,11/30/2019,L6762130,"Hope Island, Kakinada",16.972331,82.345178,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1
IN-AP-EG,S52616158,12/14/2018,L8597024,Korangi river,16.8403064,82.2570246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
IN-AP-EG,S63256277,1/11/2020,L8520908,Chinnayapalem tank,17.2527423,82.3919359,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2
IN-AP-EG,S70268044,6/10/2020,L10858778,"Dairy Farm Road, Kakinada, Andhra Pradesh, IN (16.957, 82.267)",16.9571951,82.2674146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,2
IN-AP-EG,S65602766,2/21/2014,L8250193,Coringa Wildlife Sanctuary--Walkway-Boat House,16.880154,82.2454183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
IN-AP-EG,S81175934,2/13/2021,L4972745,Coringa Wildlife Santuary,16.8369936,82.2856236,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,4
IN-AP-EG,S32020478,10/10/2016,L4984271,Kakinada Fishing Jetty (Kumbhabishekam),16.9578294,82.2678935,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,8,7
IN-AP-EG,S41899927,1/13/2018,L4972745,Coringa Wildlife Santuary,16.8369936,82.2856236,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3
IN-AP-EG,S51663184,1/13/2019,L4984271,Kakinada Fishing Jetty (Kumbhabishekam),16.9578294,82.2678935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
IN-AP-EG,S63346638,1/12/2020,L10482954,"Point 3 Hope Island Andhra Pradesh, IN (16.95, 82.356)",16.9496542,82.3562991,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,3
IN-AP-EG,S31974538,1/25/2016,L4979491,Puducherry (Kakinada),16.7689601,82.2737789,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
IN-AP-EG,S32006643,10/10/2016,L4984271,Kakinada Fishing Jetty (Kumbhabishekam),16.9578294,82.2678935,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
IN-AP-EG,S83989865,2/22/2021,L6762130,"Hope Island, Kakinada",16.972331,82.345178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
IN-AP-EG,S50650383,12/14/2018,L8250193,Coringa Wildlife Sanctuary--Walkway-Boat House,16.880154,82.2454183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IN-AP-EG,S50669940,12/15/2018,L6786879,Coromandel International Ltd,16.9875625,82.2721875,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
IN-AP-EG,S60387572,10/6/2019,L8250193,Coringa Wildlife Sanctuary--Walkway-Boat House,16.880154,82.2454183,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
IN-AP-EG,S77717350,12/20/2020,L10492485,Wetland opposite Coromandel fertilizers,16.9956434,82.2679424,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
