"COMMON.NAME","Bhatikhana wetlands JG","Joka Wetlands","Rabindra Sarovar (including Lion's Safari Park)","Alitakhali","Piyali Island Tourist Lodge","Farakka IBA Panchanandapur (count 1)","Jagannathpur Wetland 1","Jagannathpur Wetland 2","Ash Pond of Farakka Thermal Power Project","Rampara","Ahiron Wetland","Diara","Naya Bundh Wetland Complex (IBA)","Gajoldoba Barrage JG","Rajarhat Wetlands I","Sagardighi Ash Pond","Baruipur Marshes","Binod Dighi","Unnamed Road, Bayra, West Bengal, IN (24.446, 88.207)","Saheb Bandh","Ballavpur WLS Jheel 2","Ballavpur WLS Jheel 3","Ballavpur WLS Jheel 1","Tajpur (count 1)","Tajpur (count 2)","Jaypur","Bakreshwar Dam (count 1)","Nalban Bheri","Nabagram (count 1)","Nabagram (count 2)","Santragachi Jheel (Lake)","Bortibeel (count 1)","Bortibeel (count 2)","Bakreshwar Dam (count 2)","Kharibari","Purbasthali Bird Sanctuary PUB","Shyamkhola Birding Place","Bara Sagardighi Fish Farm","10 no spar teesta riverbed","Karjjana Wetland 1","Karjjana Wetland 2","Bosipota","Farakka IBA Panchanandapur (count 2)","Sundoriya Bill","Sahaspur","Kamalpur","Fulbari Grassland"
"Alexandrine Parakeet","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Asian Koel","0","1","X","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","6","0","0","0","0","0","0","1","0","0","0","0","0","0"
"Asian Palm-Swift","0","5","0","0","0","50","0","30","6","0","0","1","43","0","6","0","50","32","0","0","0","0","30","0","0","0","650","4","8","10","10","0","0","0","1","50","0","0","0","2","0","25","60","15","0","0","0"
"Barn Swallow","0","3","0","0","0","120","0","0","5","12","0","15","50","0","2","0","22","7","0","0","0","0","0","0","0","0","100","110","4","14","20","0","5","50","28","200","0","60","0","10","0","80","200","0","0","2","0"
"Black Drongo","0","9","X","0","0","4","0","0","4","6","0","8","9","0","8","0","30","2","0","0","0","0","0","0","2","0","7","12","4","5","0","5","2","0","22","30","2","6","28","4","2","4","9","7","0","0","23"
"Blyth's Reed Warbler","0","1","0","0","0","0","0","0","0","0","0","8","2","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brown Shrike","0","2","0","0","0","0","1","0","1","0","0","12","1","0","3","0","1","1","0","0","0","0","0","1","0","0","0","6","1","1","1","0","1","0","2","10","1","3","0","1","1","1","1","0","0","0","2"
"Cattle Egret","0","1","4","0","0","150","0","0","6","50","0","42","20","4","16","0","20","33","0","0","0","4","3","0","0","0","3","20","8","22","30","15","3","0","26","20","7","12","5","1","0","60","90","6","0","0","250"
"Greater Coucal","0","5","1","0","0","2","0","0","2","3","0","2","2","0","1","0","0","1","0","0","0","0","0","0","0","0","0","4","2","2","0","1","1","0","1","0","2","0","0","0","0","1","0","0","0","0","0"
"Green Bee-eater","0","7","X","0","0","0","0","0","2","2","0","2","5","0","0","0","16","0","0","0","0","0","0","15","7","0","8","0","2","0","3","0","3","10","0","0","1","0","0","3","7","0","0","0","0","0","0"
