Common Name,Scientific Name,Source,SoIB Concern Status,IUCN Red List,WLPA Schedule
Slender-billed Vulture,Gyps tenuirostris,eBird,High,Critically Endangered,Schedule-I
Himalayan Griffon,Gyps himalayensis,eBird,Moderate,Near Threatened,Schedule-IV
Eurasian Griffon,Gyps fulvus,eBird,Moderate,Least Concern,Schedule-IV
Crested Serpent-Eagle,Spilornis cheela,eBird,Low,Least Concern,Schedule-I
Short-toed Snake-Eagle,Circaetus gallicus,eBird,High,Least Concern,Schedule-I
Changeable Hawk-Eagle,Nisaetus cirrhatus,eBird,Low,Least Concern,Schedule-I
Mountain Hawk-Eagle,Nisaetus nipalensis,eBird,Low,Least Concern,Schedule-I
Rufous-bellied Eagle,Lophotriorchis kienerii,eBird,Moderate,Near Threatened,Schedule-I
Black Eagle,Ictinaetus malaiensis,eBird,Low,Least Concern,Schedule-I
Greater Spotted Eagle,Clanga clanga,eBird,Moderate,Vulnerable,Schedule-I
Booted Eagle,Hieraaetus pennatus,eBird,Low,Least Concern,Schedule-I
Steppe Eagle,Aquila nipalensis,eBird,High,Endangered,Schedule-I
Eurasian Marsh-Harrier,Circus aeruginosus,eBird,Low,Least Concern,Schedule-I
Hen Harrier,Circus cyaneus,eBird,NA,Least Concern,Schedule-I
Pallid Harrier,Circus macrourus,eBird,Moderate,Near Threatened,Schedule-I
Pied Harrier,Circus melanoleucos,eBird,NA,Least Concern,Schedule-I
Crested Goshawk,Accipiter trivirgatus,eBird,Low,Least Concern,Schedule-I
Shikra,Accipiter badius,eBird,Low,Least Concern,Schedule-I
Besra,Accipiter virgatus,eBird,Moderate,Least Concern,Schedule-I
Eurasian Sparrowhawk,Accipiter nisus,eBird,Moderate,Least Concern,Schedule-I
Northern Goshawk,Accipiter gentilis,eBird,NA,Least Concern,Schedule-I
Black Kite,Milvus migrans,eBird,Low,Least Concern,Schedule-I
White-tailed Eagle,Haliaeetus albicilla,eBird,NA,Least Concern,Schedule-I
Common Buzzard,Buteo buteo,eBird,Low,Least Concern,Schedule-I
Himalayan Buzzard,Buteo refectus,eBird,Low,Least Concern,Schedule-I
Long-legged Buzzard,Buteo rufinus,eBird,Low,Least Concern,Schedule-I
Australasian Grass-Owl,Tyto longimembris,eBird,NA,Least Concern,Schedule-IV
Barn Owl,Tyto alba,eBird,NA,Least Concern,Schedule-IV
Mountain Scops-Owl,Otus spilocephalus,eBird,NA,Least Concern,Schedule-IV
