LOCALITY,Standardized.Site.Name,LATITUDE,LONGITUDE
"Velachery - Tambaram Main Road, Chennai, Tamil Nadu, IN (12.96, 80.214)",Pallikaranai Marsh,12.9598106,80.2137241
"kasimedu,fishing harbour,chennai",Kasimedu Beach,13.1331946,80.3017008
Kasimedu Fishing Harbour,Kasimedu Beach,13.1298445,80.2967119
Adayaru--Thiru-Vi-Ka (New) Bridge,Adayaru River Estuary,13.0115581,80.2572165
Pallikaranai Marsh (Kamakshinagar End),Pallikaranai Marsh,12.9458489,80.2172076
IN-Tamil Nadu-Chennai-New Thiru-Vi-Ka Bridge - 13.015x80.259,Adayaru River Estuary,13.0147633,80.2594617
IN-Tamil Nadu-Chennai-11 1st Crescent Park Road - 13.012x80.255,Adayaru River Estuary,13.0115283,80.2548383
Kamakoti Nagar Surroundings,Pallikaranai Marsh,12.9437727,80.2129204
Adayar River-- Buckingham Canal Junction,Adayaru River Estuary,13.0166645,80.2506108
"IN-Tamil Nadu-Chennai-11 1st Crescent Park Road - 13.012x80.255 - Feb 17, 2017 1:02 PM",Adayaru River Estuary,13.011645,80.254795
IN-Tamil Nadu-Chennai-Thiru-Vi-Ka Bridge - 13.011x80.258,Adayaru River Estuary,13.0112983,80.25847
"Adyar Bridge ,chennai",Adayaru River Estuary,13.0393002,80.2131658
Adyar bridge,Adayaru River Estuary,13.0103699,80.2596116
"15 Arunachalam Road, Chennai",Adayaru River Estuary,13.0203515,80.2403802
"Pallikaranai Marsh, Radial Road, Chennai, Tamil Nadu, IN (12.95, 80.23)",Pallikaranai Marsh,12.9497055,80.2300305
India Elphinstone Bridge,Adayaru River Estuary,13.013295,80.2591446
IN-Tamil Nadu-Chennai-8/1/10A Adyar Bridge - 13.013x80.259,Adayaru River Estuary,13.0134899,80.2591526
Pallikaranai marsh wetland,Pallikaranai Marsh,12.9455084,80.2118683
Pallikaranai,Pallikaranai Marsh,12.9491072,80.2199032
"Pallikatanai Bird Park, Chennai, Tamil Nadu, IN (12.959, 80.216)",Pallikaranai Marsh,12.9590562,80.2158462
"Adyar Avenue, Chennai, Tamil Nadu, IN (13.003, 80.241)",Adayaru River Estuary,13.0029054,80.2406484
"Adyar Bridge, Chennai IN-Tamil Nadu (13.0130,80.2591)",Adayaru River Estuary,13.012979,80.259055
Theosophical society,Adayaru River Estuary,13.0125567,80.2699666
"1st Cresent Park Street, Chennai IN-Tamil Nadu (13.0122,80.2539)",Adayaru River Estuary,13.01224,80.253904
"Adyar river, Back sideof YMCA ground and AU,Kotturpuram.",Adayaru River Estuary,13.0249743,80.2399029
"11.819x79.724 - Jan 15, 2016 2:21 PM",Bahour Lake,11.8190733,79.724335
Pichavaram Mangrove Forest,Vellar River Estuary/Pichavaram,11.4363032,79.788444
PICHAVARAM MANGROVE FOREST,Vellar River Estuary/Pichavaram,11.4594605,79.794973
Muzhukkuthurai (Killai),Vellar River Estuary/Pichavaram,11.46396,79.7825388
"Vellar River estuary, near Porto Novo",Vellar River Estuary/Pichavaram,11.4870387,79.7621416
"IN-Tamil Nadu-Cuddalore (11.7050,79.7805)",Gadilam River Estuary,11.704971,79.780526
Mudasal odai,Vellar River Estuary/Pichavaram,11.480034,79.779097
KELAMBAKAM - KOVALAM ROAD,Kelambakkam/Muttukadu Backwaters,12.7833857,80.2379823
Sholinganallur/Perumbakkam Marshlands,Sholinganallur/Perumbakkam Marshlands,12.9005429,80.2183914
Kelambakkam Backwaters,Kelambakkam/Muttukadu Backwaters,12.7841076,80.2360672
Mudhaliyarkuppam Backwaters / Odiyur Lake,Mudhaliyarkuppam Backwaters/Odiyur Lake,12.3366479,80.0336838
uthukadu lake,Uthukadu Lake,12.8318033,79.7785091
Kalpakkam,Kalpakkam Backwaters,12.5243596,80.1602197
PALLIKARANAI MARSH,Pallikaranai Marsh,12.9486871,80.219636
Sholinganallur-Perumbakkam Marsh,Sholinganallur/Perumbakkam Marshlands,12.90107,80.22277
Nemmeli Salt Pans,Kelambakkam/Muttukadu Backwaters,12.717358,80.2151754
Pallikaranai Marsh--(Sholinganallur End) ___________ ____________--(______________ ______)),Pallikaranai Marsh,12.9106243,80.2169967
"Backwater,7th street no.3, Kalpakkam, Tamil Nadu, IN (12.505, 80.155)",Kalpakkam Backwaters,12.5045182,80.1553472
kallipatt lake,Uthukadu Lake,12.8234345,79.7763205
Muttukadu backwaters,Kelambakkam/Muttukadu Backwaters,12.8045198,80.2512646
"thaneri lake,thenneri",Thenneri Lake,12.8782761,79.8482466
Sirudhavur Lake (__________ ___),Sirudavoor Lake,12.6847012,80.1455426
"Chennai, Tamil Nadu, IN (12.914, 80.226)",Pallikaranai Marsh,12.9141289,80.2255965
PALLIKARANAI MARSH,Pallikaranai Marsh,12.9420788,80.2303648
Muttukadu Backwaters,Kelambakkam/Muttukadu Backwaters,12.8035383,80.2425833
AMBEDHKAR NAGAR PHASE-1,Pallikaranai Marsh,12.93988,80.22152
"The salt Lake, Kelambakkam-Kovalam road",Kelambakkam/Muttukadu Backwaters,12.7839159,80.231107
Pallikaranai Marsh--Southwest Watchtower (___________ ____________ - __________ ________ _______),Pallikaranai Marsh,12.9390294,80.2189922
Pallikaranai Marsh--Karapakkam,Pallikaranai Marsh,12.919562,80.216883
PALLIKARANAI MARSH LANDS EASTERN SIDE,Pallikaranai Marsh,12.9353581,80.2286696
"Kelambakam Kovalam Road, Kancheepuram IN-Tamil Nadu (12.7821,80.2294)",Kelambakkam/Muttukadu Backwaters,12.78213,80.229374
Thenneri Lake,Thenneri Lake,12.8594019,79.8501348
PALLIKARANAI MARSH,Pallikaranai Marsh,12.9231731,80.2226937
Amoor Lake,Aamoor Lake,12.6602701,80.1378822
"Vaiyavoor Road, Kamakshi Nagar, Tamil Nadu, IN (12.836, 79.738)",Vaiyavoor/Nathapettai Lake,12.8357896,79.7381161
PALLIKARANAI MARSH,Pallikaranai Marsh,12.93895,80.22056
