"NAME","Concern.Status","n"
"Nongkhyllem","High",1
"Oussudu","High",1
"Overa-Aru","High",1
"Parasnath","High",1
"Phawngpui Blue Mountain","High",1
"Puliebadze","High",1
"Rupi Bhaba","High",1
"Sainj","High",1
"Shikari Devi","High",1
"Takhni-Rehampur","High",1
"Tawi","High",1
"Tirthan","High",1
"Yedsi Ramlin Ghat","High",1
