"COMMON.NAME","Long.Term.Status","Current.Status","Range.Status","Concern.Status","IUCN","WLPA.Schedule"
"Broad-billed Sandpiper","Data Deficient","Uncertain","Restricted","Moderate","Least Concern","Schedule-IV"
"Little Tern","Strong Decline","Uncertain","Moderate","Moderate","Least Concern","Schedule-IV"
"Curlew Sandpiper","Strong Decline","Uncertain","Moderate","Moderate","Near Threatened","Schedule-IV"
"Ruddy-breasted Crake","Data Deficient","Uncertain","Large","Low","Least Concern","Schedule-IV"
"Whimbrel","Strong Decline","Uncertain","Moderate","Moderate","Least Concern","Schedule-IV"
"Oriental Magpie-Robin","Stable","Stable","Very Large","Low","Least Concern","Schedule-IV"
"Woolly-necked Stork","Stable","Moderate Decline","Very Large","Low","Vulnerable","Schedule-IV"
"Indian Paradise-Flycatcher","Stable","Uncertain","Large","Low","Least Concern","Schedule-IV"
"Steppe Eagle","Uncertain","Uncertain","Large","High","Endangered","Schedule-I"
"Red-rumped Swallow","Stable","Uncertain","Very Large","Low","Least Concern","Schedule-IV"
"Long-tailed Shrike","Stable","Strong Decline","Large","Moderate","Least Concern","Schedule-IV"
"Loten's Sunbird","Stable","Uncertain","Large","Low","Least Concern","Schedule-IV"
"Forest Wagtail","Strong Decline","Strong Decline","Moderate","High","Least Concern","Schedule-IV"
"Chestnut-headed Bee-eater","Uncertain","Uncertain","Moderate","Low","Least Concern","Schedule-IV"
"Peregrine Falcon","Stable","Uncertain","Moderate","Low","Least Concern","Schedule-I"
"Barn Owl",NA,NA,NA,NA,NA,NA
"Brown Boobook",NA,NA,NA,NA,NA,NA
"Green Warbler",NA,NA,NA,NA,NA,NA
"Red-vented Bulbul","Stable","Stable","Very Large","Low","Least Concern","Schedule-IV"
"Greater Flameback","Stable","Uncertain","Large","Low","Least Concern","Schedule-IV"
"Green-winged Teal","Uncertain","Uncertain","Large","Low","Least Concern","Schedule-IV"
"Chestnut-tailed Starling","Uncertain","Uncertain","Very Large","Low","Least Concern","Schedule-IV"
"Streak-throated Swallow","Stable","Strong Increase","Very Large","Low","Least Concern","Schedule-IV"
