LOCALITY,LATITUDE,LONGITUDE,DISTRICT,ST_NM,COMMON.NAME,historical.status,season
Pulicat Lake--AP,13.7245174,80.1118554,Sri Potti Sriramulu Nell*,ANDHRA PRADESH,Greater Flamingo,N,Winter
Singanamala Cheruvu,14.784355,77.702219,Anantapur,ANDHRA PRADESH,Black-tailed Godwit,N,Passage/Summer
Tungabhadra Reservoir/Backwaters,15.1114074,76.2273441,Ballari,KARNATAKA,Greater Flamingo,N,Winter
Almatti Reservoir/Backwaters,16.278455,75.721917,Bagalkote,KARNATAKA,Black-tailed Godwit,N,Passage/Summer
Almatti Reservoir/Backwaters,16.278455,75.721917,Bagalkote,KARNATAKA,Greater Flamingo,N,Passage/Summer
Krishna River--Galagali,16.4030641,75.4552529,Bagalkote,KARNATAKA,Black-tailed Godwit,N,Winter
Neelapalli Island,16.7186983,82.2296313,Yanam,PUDUCHERRY,Indian Skimmer,N,Winter
Kakinada,16.9434861,82.2331029,East Godavari,ANDHRA PRADESH,Great Knot,N,Winter
Kakinada,16.9434861,82.2331029,East Godavari,ANDHRA PRADESH,Great Knot,N,Winter
Kakinada,16.9578294,82.2678935,East Godavari,ANDHRA PRADESH,Great Knot,N,Winter
Kakinada,16.9578294,82.2678935,East Godavari,ANDHRA PRADESH,Great Knot,N,Winter
Kakinada,16.9578294,82.2678935,East Godavari,ANDHRA PRADESH,Indian Skimmer,N,Winter
Kakinada,16.9578294,82.2678935,East Godavari,ANDHRA PRADESH,Indian Skimmer,N,Winter
Kakinada,16.9578294,82.2678935,East Godavari,ANDHRA PRADESH,Black-tailed Godwit,N,Winter
Kakinada,16.9578294,82.2678935,East Godavari,ANDHRA PRADESH,Black-tailed Godwit,N,Winter
Kakinada,16.9578294,82.2678935,East Godavari,ANDHRA PRADESH,Indian Skimmer,N,Passage/Summer
Kakinada,16.9578294,82.2678935,East Godavari,ANDHRA PRADESH,Indian Skimmer,N,Passage/Summer
Kakinada,16.958388,82.2716832,East Godavari,ANDHRA PRADESH,Indian Skimmer,N,Winter
Kakinada,16.969131,82.239552,East Godavari,ANDHRA PRADESH,Indian Skimmer,N,Winter
Kakinada,16.9776101,82.2507204,East Godavari,ANDHRA PRADESH,Indian Skimmer,N,Winter
Kakinada,16.9875683,82.2722232,East Godavari,ANDHRA PRADESH,Indian Skimmer,N,Winter
Kakinada,16.9875683,82.2722232,East Godavari,ANDHRA PRADESH,Indian Skimmer,N,Winter
Kakinada,16.992179,82.261836,East Godavari,ANDHRA PRADESH,Indian Skimmer,N,Winter
Kakinada,16.9922683,82.2782046,East Godavari,ANDHRA PRADESH,Indian Skimmer,N,Winter
