"COMMON.NAME","Concern.Status","IUCN"
"Greater Necklaced Laughingthrush","Low","Least Concern"
"Long-tailed Broadbill","Low","Least Concern"
"Mrs. Gould's Sunbird","Low","Least Concern"
"Pygmy Cupwing","Low","Least Concern"
"Red-faced Liocichla","Low","Least Concern"
"Slaty-blue Flycatcher","Low","Least Concern"
"Asian Openbill","Low","Least Concern"
"Asian Pied Starling","Low","Least Concern"
"Baya Weaver","Low","Least Concern"
"Indian Spot-billed Duck","Low","Least Concern"
"Paddyfield Pipit","Low","Least Concern"
"Red-wattled Lapwing","Low","Least Concern"
"White-breasted Waterhen","Low","Least Concern"
"Wood Sandpiper","Low","Least Concern"
"Scaly-breasted Cupwing","Low","Least Concern"
"Asian Barred Owlet","Low","Least Concern"
"Gray-throated Martin","Low","Least Concern"
"Oriental Turtle-Dove","Low","Least Concern"
"Red Junglefowl","Low","Least Concern"
"Square-tailed Drongo-Cuckoo","Low","Least Concern"
"White-rumped Shama","Low","Least Concern"
"Gray Heron","Low","Least Concern"
"Great Myna","Low","Least Concern"
"Lesser Coucal","Low","Least Concern"
"Lesser Whistling-Duck","Low","Least Concern"
"Plain Prinia","Low","Least Concern"
"Zitting Cisticola","Low","Least Concern"
"Buff-barred Warbler","Low","Least Concern"
"Lesser Shortwing","Low","Least Concern"
"Whistler's Warbler","Low","Least Concern"
"Little Pied Flycatcher","Low","Least Concern"
"Gray-winged Blackbird","Low","Least Concern"
"Black-hooded Oriole","Low","Least Concern"
"Brown Shrike","Low","Least Concern"
"Indian Pond-Heron","Low","Least Concern"
"Intermediate Egret","Low","Least Concern"
"Northern Pintail","Low","Least Concern"
"Rock Pigeon","Low","Least Concern"
"Rufous Treepie","Low","Least Concern"
"Sultan Tit","Low","Least Concern"
"Black-rumped Flameback","Low","Least Concern"
"Slaty-bellied Tesia","Low","Least Concern"
"Pallas's Gull","Low","Least Concern"
"Lesser Yellownape","Low","Least Concern"
"Slaty-backed Forktail","Low","Least Concern"
"Himalayan Monal","Low","Least Concern"
"Rufous-breasted Accentor","Low","Least Concern"
"Striated Heron","Low","Least Concern"
"Dark-breasted Rosefinch","Low","Least Concern"
"Dark-sided Flycatcher","Low","Least Concern"
"Crested Goshawk","Low","Least Concern"
"Spotted Forktail","Low","Least Concern"
"Booted Eagle","Low","Least Concern"
"Blue-throated Flycatcher","Low","Least Concern"
"Ruby-cheeked Sunbird","Low","Least Concern"
"Asian Koel","Low","Least Concern"
"Citrine Wagtail","Low","Least Concern"
"Coppersmith Barbet","Low","Least Concern"
"Little Cormorant","Low","Least Concern"
"Rose-ringed Parakeet","Low","Least Concern"
"Aberrant Bush Warbler","Low","Least Concern"
"Scarlet Finch","Low","Least Concern"
"Barn Swallow","Low","Least Concern"
"Black-winged Kite","Low","Least Concern"
"Gray-headed Woodpecker","Low","Least Concern"
"Rosy Pipit","Low","Least Concern"
"Short-billed Minivet","Low","Least Concern"
"Common Green-Magpie","Low","Least Concern"
"Long-billed Thrush","Low","Least Concern"
"Plain Mountain-Finch","Low","Least Concern"
"Blue-bearded Bee-eater","Low","Least Concern"
"Scaly-breasted Munia","Low","Least Concern"
"Rufous-bellied Woodpecker","Low","Least Concern"
"Bluethroat","Low","Least Concern"
"Common Hill Myna","Low","Least Concern"
"Eurasian Marsh-Harrier","Low","Least Concern"
"Yellow-bellied Prinia","Low","Least Concern"
"Peregrine Falcon","Low","Least Concern"
"Kalij Pheasant","Low","Least Concern"
"White-browed Scimitar-Babbler","Low","Least Concern"
"Speckled Wood-Pigeon","Low","Least Concern"
"Blyth's Pipit","Low","Least Concern"
"Western Yellow Wagtail","Low","Least Concern"
"Isabelline Wheatear","Low","Least Concern"
"Snowy-browed Flycatcher","Low","Least Concern"
"Eurasian Wryneck","Low","Least Concern"
"Golden Bush-Robin","Low","Least Concern"
"Brown Dipper","Low","Least Concern"
"White-spectacled Warbler","Low","Least Concern"
"White-browed Piculet","Low","Least Concern"
"Blue-eared Kingfisher","Low","Least Concern"
"Shikra","Low","Least Concern"
"Changeable Hawk-Eagle","Low","Least Concern"
"Chestnut-capped Babbler","Low","Least Concern"
"Paddyfield Warbler","Low","Least Concern"
"Eurasian Moorhen","Low","Least Concern"
"Greater Coucal","Low","Least Concern"
"Green Imperial-Pigeon","Low","Least Concern"
"Striated Babbler","Low","Least Concern"
"Common Buzzard","Low","Least Concern"
"Indian Blue Robin","Low","Least Concern"
"Rufous-chinned Laughingthrush","Low","Least Concern"
"Ultramarine Flycatcher","Low","Least Concern"
"Bengal Bushlark","Low","Least Concern"
"Amur Falcon","Low","Least Concern"
"Purple Heron","Low","Least Concern"
"Graceful Prinia","Low","Least Concern"
"Red-rumped Swallow","Low","Least Concern"
"Greater Flameback","Low","Least Concern"
"Dusky Warbler","Low","Least Concern"
"Green-billed Malkoha","Low","Least Concern"
"Pale-chinned Blue Flycatcher","Low","Least Concern"
"Russet Sparrow","Low","Least Concern"
"Striated Prinia","Low","Least Concern"
"Gray Bushchat","Low","Least Concern"
"Wallcreeper","Low","Least Concern"
"Crested Kingfisher","Low","Least Concern"
"Clamorous Reed Warbler","Low","Least Concern"
"Pied Bushchat","Low","Least Concern"
"Vernal Hanging-Parrot","Low","Least Concern"
"Black-crowned Night-Heron","Low","Least Concern"
"Green Bee-eater","Low","Least Concern"
"Blyth's Reed Warbler","Low","Least Concern"
"Osprey","Low","Least Concern"
"Indian Roller","Low","Least Concern"
"Chestnut-headed Bee-eater","Low","Least Concern"
