ASSET.ID,LONGITUDE,LATITUDE,group.id,DISTRICT,ST_NM,g2clip,g3clip,day,month,cyear,type,link,Type,data,,,,,,,,
28531051,77.2282104,28.7382115,G1757463,North,NCT of Delhi,1256,308,130,5,2016,B,,,ebird,,,,,,,,
28531081,77.2282104,28.7382115,G1757463,North,NCT of Delhi,1256,308,130,5,2016,NA,,,ebird,,,,,,,,
,78.026969,26.194403,,Gwalior,Madhya Pradesh,,,173,6,2016,B,https://www.facebook.com/photo.php?fbid=10153900702059472&set=p.10153900702059472&type=1&theater,,,,,,,,,,
29924501,78.2737255,17.5033487,G1802772,Medak,Telangana,2883,738,158,6,2016,W,,,ebird,,,,,,,,
30115631,75.9540224,14.426814,S30193617,Davanagere,Karnataka,3268,834,163,6,2016,W,,,ebird,,,,,,,,
30158741,75.9540224,14.426814,S30193617,Davanagere,Karnataka,3268,834,163,6,2016,NA,,,ebird,,,,,,,,
30728691,72.8118156,21.5842281,S30467160,Bharuch,Gujarat,2286,567,179,6,2016,B,,,ebird,,,,,,,,
30907241,77.2898269,28.5881532,G1838841,East,NCT of Delhi,1256,308,185,7,2016,NA,,,ebird,,,,,,,,
31456461,72.3783106,22.8530424,S30785697,Ahmadabad,Gujarat,2090,533,193,7,2016,B,,,ebird,,,,,,,,
31666131,74.9781382,15.4548384,S30827930,Dharwad,Karnataka,3136,800,205,7,2016,NA,,,ebird,,,,,,,,
38672931,78.3483553,17.3943812,G1987859,Rangareddy,Telangana,2883,738,208,7,2016,W,,,ebird,,,,,,,,
32130061,80.2162886,13.3834991,S31004521,Thiruvallur,Tamil Nadu,3472,872,219,8,2016,W,,,ebird,,,,,,,,
192726351,88.4605396,22.6134166,S61991317,North 24 Parganas,West Bengal,2126,551,219,8,2016,W,,,ebird,,,,,,,,
33013491,72.6235127,22.5492832,S31176070,Kheda,Gujarat,2090,533,230,8,2016,B,,,ebird,,,,,,,,
33094560,77.1099445,28.4835371,G1888435,Gurgaon,Haryana,1255,307,230,8,2016,B,,,ebird,,,,,,,,
33094570,77.1099445,28.4835371,G1888435,Gurgaon,Haryana,1255,307,230,8,2016,B,,,ebird,,,,,,,,
33012771,77.1099445,28.4835371,G1946307,Gurgaon,Haryana,1255,307,233,8,2016,B,,,ebird,,,,,,,,
33397731,77.769921,13.07033,G1892944,Bangalore Rural,Karnataka,3467,869,233,8,2016,W,,,ebird,,,,,,,,
136608731,77.769921,13.07033,G1892944,Bangalore Rural,Karnataka,3467,869,233,8,2016,W,,,ebird,,,,,,,,
33491031,88.4750361,22.6016851,S31288440,North 24 Parganas,West Bengal,2126,551,240,8,2016,W,,,ebird,,,,,,,,
37296841,77.7689271,13.0700792,G1902005,Bangalore Rural,Karnataka,3467,869,240,8,2016,W,,,ebird,,,,,,,,
34627881,80.2162886,13.3834991,G1917514,Thiruvallur,Tamil Nadu,3472,872,246,9,2016,NA,,,ebird,,,,,,,,
34627891,80.2162886,13.3834991,G1917514,Thiruvallur,Tamil Nadu,3472,872,246,9,2016,NA,,,ebird,,,,,,,,
34627901,80.2162886,13.3834991,G1917514,Thiruvallur,Tamil Nadu,3472,872,246,9,2016,NA,,,ebird,,,,,,,,
34627911,80.2162886,13.3834991,G1917514,Thiruvallur,Tamil Nadu,3472,872,246,9,2016,NA,,,ebird,,,,,,,,
34627921,80.2162886,13.3834991,G1917514,Thiruvallur,Tamil Nadu,3472,872,246,9,2016,NA,,,ebird,,,,,,,,
34627931,80.2162886,13.3834991,G1917514,Thiruvallur,Tamil Nadu,3472,872,246,9,2016,NA,,,ebird,,,,,,,,
34631201,80.2162886,13.3834991,G1917514,Thiruvallur,Tamil Nadu,3472,872,246,9,2016,NA,,,ebird,,,,,,,,
35930511,86.1369839,20.7100215,S31745689,Jajapur,Odisha,2380,614,266,9,2016,W,,transition,ebird,,,,,,,,
52712211,88.334,22.804,G2283497,Hugli,West Bengal,2125,551,78,3,2017,NA,,,ebird,,,,,,,,
180635011,88.334,22.804,S35271872,Hugli,West Bengal,2125,551,78,3,2017,W,,,ebird,,,,,,,,
180635031,88.334,22.804,S35271872,Hugli,West Bengal,2125,551,78,3,2017,W,,,ebird,,,,,,,,
53611281,78.0729353,17.6548137,G2384846,Medak,Telangana,2817,704,91,4,2017,NA,,,ebird,,,,,,,,
53756701,77.769921,13.07033,S35781352,Bangalore Rural,Karnataka,3467,869,98,4,2017,NA,,,ebird,,,,,,,,
53756711,77.769921,13.07033,S35781352,Bangalore Rural,Karnataka,3467,869,98,4,2017,NA,,,ebird,,,,,,,,
53769171,77.7689271,13.0700792,G2379349,Bangalore Rural,Karnataka,3467,869,98,4,2017,NA,,,ebird,,,,,,,,
53769181,77.7689271,13.0700792,G2379349,Bangalore Rural,Karnataka,3467,869,98,4,2017,NA,,,ebird,,,,,,,,
73969901,74.6741259,32.5666895,G2369031,Jammu,Jammu & Kashmir,665,173,118,4,2017,NA,,,ebird,,,,,,,,
61651381,92.0528884,26.2327648,S36413687,Marigaon,Assam,1614,423,119,4,2017,W,,,ebird,,,,,,,,
58795801,78.0729353,17.6548137,G2434145,Medak,Telangana,2817,704,141,5,2017,W,,,ebird,,,,,,,,
58835951,78.0729353,17.6548137,G2434145,Medak,Telangana,2817,704,141,5,2017,W,,,ebird,,,,,,,,
58835961,78.0729353,17.6548137,G2434145,Medak,Telangana,2817,704,141,5,2017,W,,,ebird,,,,,,,,
59247701,77.3063707,28.5668688,S37132346,Gautam Buddha Nagar,Uttar Pradesh,1256,308,145,5,2017,NA,,,ebird,,,,,,,,
61260191,76.840624,30.55119,S37615917,Sahibzada Ajit Singh Nagar,Punjab,995,241,167,6,2017,B,,,ebird,,,,,,,,
61268511,76.9140333,28.3201923,S37623033,Gurgaon,Haryana,1320,340,167,6,2017,B,,,ebird,,,,,,,,
61525701,76.3401532,26.0808724,S37696444,Sawai Madhopur,Rajasthan,1644,406,168,6,2017,B,,,ebird,,,,,,,,
61525741,76.3401532,26.0808724,S37696444,Sawai Madhopur,Rajasthan,1644,406,168,6,2017,NA,,,ebird,,,,,,,,
61434391,73.0726218,19.1921494,S37655385,Thane,Maharashtra,2611,666,169,6,2017,B,,transition,ebird,,,,,,,,
61717641,76.4378339,26.062108,S37721326,Sawai Madhopur,Rajasthan,1644,406,169,6,2017,NA,,,ebird,,,,,,,,
61717661,76.4378339,26.062108,S37721326,Sawai Madhopur,Rajasthan,1644,406,169,6,2017,NA,,,ebird,,,,,,,,
61717671,76.4378339,26.062108,S37721326,Sawai Madhopur,Rajasthan,1644,406,169,6,2017,NA,,,ebird,,,,,,,,
61717681,76.4378339,26.062108,S37721326,Sawai Madhopur,Rajasthan,1644,406,169,6,2017,B,,,ebird,,,,,,,,
61717691,76.4378339,26.062108,S37721326,Sawai Madhopur,Rajasthan,1644,406,169,6,2017,B,,,ebird,,,,,,,,
61717701,76.4378339,26.062108,S37721326,Sawai Madhopur,Rajasthan,1644,406,169,6,2017,B,,transition,ebird,,,,,,,,
61717971,76.4378339,26.062108,S37721326,Sawai Madhopur,Rajasthan,1644,406,169,6,2017,NA,,,ebird,,,,,,,,
61453341,73.0726218,19.1921494,S37682520,Thane,Maharashtra,2611,666,170,6,2017,B,,,ebird,,,,,,,,
61453371,73.0726218,19.1921494,S37682520,Thane,Maharashtra,2611,666,170,6,2017,B,,,ebird,,,,,,,,
61453451,73.0726218,19.1921494,S37682520,Thane,Maharashtra,2611,666,170,6,2017,B,,,ebird,,,,,,,,
61454481,73.0726218,19.1921494,S37682843,Thane,Maharashtra,2611,666,170,6,2017,B,,transition,ebird,,,,,,,,
61454561,73.0726218,19.1921494,S37682843,Thane,Maharashtra,2611,666,170,6,2017,B,,transition,ebird,,,,,,,,
103562281,73.0726218,19.1921494,S46366340,Thane,Maharashtra,2611,666,170,6,2017,B,,,ebird,,,,,,,,
61519251,73.0748733,19.1752367,G2696924,Thane,Maharashtra,2611,666,171,6,2017,B,,,ebird,,,,,,,,
61519271,73.0748733,19.1752367,G2696924,Thane,Maharashtra,2611,666,171,6,2017,B,,,ebird,,,,,,,,
30721041,73.0748733,19.1752367,S30428676,Thane,Maharashtra,,,179,6,2016,B,,transition,ebird,,,,,,,,
61519301,73.0748733,19.1752367,G2696924,Thane,Maharashtra,2611,666,171,6,2017,B,,,ebird,,,,,,,,
61711251,83.9225864,21.4435621,G2499760,Sambalpur,Odisha,2310,579,172,6,2017,W,,,ebird,,,,,,,,
136904801,72.797777,19.4595329,S52016499,Thane,Maharashtra,2546,633,175,6,2017,B,,,ebird,,,,,,,,
62721691,72.8468657,19.3858097,G2521476,Thane,Maharashtra,2546,633,187,7,2017,B,,,ebird,,,,,,,,
62721701,72.8468657,19.3858097,G2521476,Thane,Maharashtra,2546,633,187,7,2017,B,,,ebird,,,,,,,,
79766481,80.9322131,26.7341701,S41436034,Lucknow,Uttar Pradesh,,,295,10,2017,B,,,ebird,,,,,,,,
79767471,80.9322131,26.7341701,S41436034,Lucknow,Uttar Pradesh,,,295,10,2017,B,,transition,ebird,,,,,,,,
79767461,80.9322131,26.7341701,S41436034,Lucknow,Uttar Pradesh,,,295,10,2017,B,,transition,ebird,,,,,,,,
206753931,77.6191807,28.338759,S64029517,Gautam Buddha Nagar,Uttar Pradesh,1321,341,196,7,2017,B,,,ebird,,,,,,,,
