Sl no.,Family,Common name,Scientific name,Source,SoIB concern status,IUCN Red List,WLPA schedule,ldv,dv
123,"Accipitridae (Hawks, Eagles, and Kites)",Booted Eagle,Hieraaetus pennatus,eBird,Low,Least Concern,Schedule-I,*,
124,"Accipitridae (Hawks, Eagles, and Kites)",Steppe Eagle,Aquila nipalensis,eBird,High,Endangered,Schedule-I,*,
125,"Accipitridae (Hawks, Eagles, and Kites)",Eurasian Marsh-Harrier,Circus aeruginosus,eBird,Low,Least Concern,Schedule-I,*,
126,"Accipitridae (Hawks, Eagles, and Kites)",Hen Harrier,Circus cyaneus,eBird,NA,Least Concern,Schedule-I,,
127,"Accipitridae (Hawks, Eagles, and Kites)",Pallid Harrier,Circus macrourus,eBird,Moderate,Near Threatened,Schedule-I,*,
128,"Accipitridae (Hawks, Eagles, and Kites)",Pied Harrier,Circus melanoleucos,eBird,NA,Least Concern,Schedule-I,*,
129,"Accipitridae (Hawks, Eagles, and Kites)",Crested Goshawk,Accipiter trivirgatus,eBird,Low,Least Concern,Schedule-I,*,
130,"Accipitridae (Hawks, Eagles, and Kites)",Shikra,Accipiter badius,eBird,Low,Least Concern,Schedule-I,,
131,"Accipitridae (Hawks, Eagles, and Kites)",Besra,Accipiter virgatus,eBird,Moderate,Least Concern,Schedule-I,*,
132,"Accipitridae (Hawks, Eagles, and Kites)",Eurasian Sparrowhawk,Accipiter nisus,eBird,Moderate,Least Concern,Schedule-I,,
133,"Accipitridae (Hawks, Eagles, and Kites)",Northern Goshawk,Accipiter gentilis,eBird,NA,Least Concern,Schedule-I,*,
134,"Accipitridae (Hawks, Eagles, and Kites)",Black Kite,Milvus migrans,eBird,Low,Least Concern,Schedule-I,*,
135,"Accipitridae (Hawks, Eagles, and Kites)",White-tailed Eagle,Haliaeetus albicilla,eBird,NA,Least Concern,Schedule-I,,!
136,"Accipitridae (Hawks, Eagles, and Kites)",Common Buzzard,Buteo buteo,eBird,Low,Least Concern,Schedule-I,*,
137,"Accipitridae (Hawks, Eagles, and Kites)",Himalayan Buzzard,Buteo refectus,eBird,Low,Least Concern,Schedule-I,,
138,"Accipitridae (Hawks, Eagles, and Kites)",Long-legged Buzzard,Buteo rufinus,eBird,Low,Least Concern,Schedule-I,*,
139,Tytonidae (Barn-Owls),Australasian Grass-Owl,Tyto longimembris,eBird,NA,Least Concern,Schedule-IV,*,
140,Tytonidae (Barn-Owls),Barn Owl,Tyto alba,eBird,NA,Least Concern,Schedule-IV,*,
141,Strigidae (Owls),Mountain Scops-Owl,Otus spilocephalus,eBird,NA,Least Concern,Schedule-IV,*,
142,Strigidae (Owls),Collared Scops-Owl,Otus lettia,eBird,NA,Least Concern,Schedule-IV,,
143,Strigidae (Owls),Oriental Scops-Owl,Otus sunia,eBird,NA,Least Concern,Schedule-IV,*,
144,Strigidae (Owls),Brown Fish-Owl,Ketupa zeylonensis,eBird,Low,Least Concern,Schedule-IV,*,
145,Strigidae (Owls),Collared Owlet,Glaucidium brodiei,eBird,Low,Least Concern,Schedule-IV,*,
146,Strigidae (Owls),Asian Barred Owlet,Glaucidium cuculoides,eBird,Low,Least Concern,Schedule-IV,,
147,Strigidae (Owls),Spotted Owlet,Athene brama,eBird,NA,Least Concern,Schedule-IV,*,
148,Strigidae (Owls),Brown Wood-Owl,Strix leptogrammica,eBird,NA,Least Concern,Schedule-IV,*,
149,Strigidae (Owls),Himalayan Owl,Strix nivicolum,eBird,NA,Least Concern,Schedule-IV,*,
150,Strigidae (Owls),Long-eared Owl,Asio otus,eBird,NA,Least Concern,Schedule-IV,*,
151,Strigidae (Owls),Brown Boobook,Ninox scutulata,eBird,NA,Least Concern,Schedule-IV,*,
152,Trogonidae (Trogons),Red-headed Trogon,Harpactes erythrocephalus,eBird,Low,Least Concern,Schedule-IV,*,
153,Trogonidae (Trogons),Ward's Trogon,Harpactes wardi,eBird,High,Near Threatened,Schedule-IV,*,
154,Upupidae (Hoopoes),Eurasian Hoopoe,Upupa epops,eBird,Moderate,Least Concern,Schedule-IV,,
155,Bucerotidae (Hornbills),Oriental Pied-Hornbill,Anthracoceros albirostris,eBird,Low,Least Concern,Schedule-I,*,
156,Bucerotidae (Hornbills),Rufous-necked Hornbill,Aceros nipalensis,eBird,High,Vulnerable,Schedule-I,*,
157,Bucerotidae (Hornbills),Wreathed Hornbill,Rhyticeros undulatus,eBird,High,Vulnerable,Schedule-I,*,
158,Alcedinidae (Kingfishers),Common Kingfisher,Alcedo atthis,eBird,Low,Least Concern,Schedule-IV,*,
159,Alcedinidae (Kingfishers),Blue-eared Kingfisher,Alcedo meninting,eBird,Low,Least Concern,Schedule-IV,*,
160,Alcedinidae (Kingfishers),Stork-billed Kingfisher,Pelargopsis capensis,eBird,Low,Least Concern,Schedule-IV,*,
161,Alcedinidae (Kingfishers),Ruddy Kingfisher,Halcyon coromanda,eBird,NA,Least Concern,Schedule-IV,*,
162,Alcedinidae (Kingfishers),White-throated Kingfisher,Halcyon smyrnensis,eBird,Low,Least Concern,Schedule-IV,*,
163,Alcedinidae (Kingfishers),Black-capped Kingfisher,Halcyon pileata,eBird,Moderate,Least Concern,Schedule-IV,*,
164,Alcedinidae (Kingfishers),Crested Kingfisher,Megaceryle lugubris,eBird,Low,Least Concern,Schedule-IV,,
165,Alcedinidae (Kingfishers),Pied Kingfisher,Ceryle rudis,eBird,Moderate,Least Concern,Schedule-IV,*,
