LATITUDE,LONGITUDE,Location
31.708286,76.931555,
31.81393,77.069936,
31.797685,77.018215,
26.9899069,92.9132867,
29.4819259,79.0538406,
29.481422,79.053251,
30.733143,78.435451,
27.1788819,77.5170422,
28.6146273,77.3031306,
28.413354,77.274783,
28.595374,77.267366,
28.4936629,77.2661591,
28.63776,77.259648,
28.607739,77.256948,
28.6205668,77.2553873,
28.6021943,77.2478342,
28.672625,77.2344245,
28.7473054,77.233007,
28.7382115,77.2282104,
28.595167,77.221334,
28.7434487,77.2130299,
28.610316,77.181747,
28.5352038,77.1807575,
28.6155692,77.1785259,
28.742691,77.17079,
28.773441,77.160076,
28.773441,77.160076,
28.5413299,77.1594071,
28.5526358,77.1506095,
28.6229529,77.0903993,
29.010866,76.956252,
28.5129722,76.9519758,
28.4638333,76.8893809,
11.4011256,76.7358595,
11.4011256,76.7358595,
11.4186585,76.7109237,
11.5562885,76.5326071,
26.0129781,76.5032959,
12.091654,75.809967,
17.930147,73.647322,
22.4771494,69.71735,
34.056858,77.6667966,
34.1116598,77.5737333,
34.056858,77.6667966,
34.07579,77.625514,
34.056858,77.6667966,
34.063542,77.659092,
34.056858,77.6667966,
11.949319,75.860836,
11.602383,75.967162,Kurichiyarmala
11.500808,76.130446,Thollayiram
11.538799,76.225596,Vaduvanchal
11.595677,76.109769,Manikunnumala
11.751104,76.149891,Naikuppa
11.680989,75.943967,Kuttiamvayal
11.794174,76.105862,Padri
